customer_name,phone_number,email,address,state,purchase_date,gold_type,gold_quality,gold_weight,price_per_gram,total_amount,discount_percentage,discount_amount,final_amount,payment_mode,notes
Jiya Kashyap,0494848517,jayeshkadakia@example.org,"64/50, Hari Chowk, Durg-151015",Telangana,2024-05-18,18K,Standard,252.913,5087.97,1286813.76,3.27,42078.81,1244734.95,UPI,
Aaina Kurian,08569991258,iupadhyay@example.net,"H.No. 059, Chaudhry Road, Sambalpur-312718",Andhra Pradesh,2023-12-19,24K,Pure,356.094,6379.14,2271573.48,0.9,20444.16,2251129.32,Cash,
Ehsaan Comar,6332600314,dhawanranbir@example.net,"74/40, Srinivas Nagar, Bhind 214256",Karnataka,2023-12-06,22K,Standard,164.511,6778.76,1115180.59,4.97,55424.48,1059756.11,Bank Transfer,Vel quo numquam labore laborum deserunt.
Tarini Bir,+910684142997,indranilsharma@example.net,"24/854, Sastry Path, Morbi-117915",Delhi,2024-09-11,18K,Pure,457.98,5423.37,2483794.99,4.4,109286.98,2374508.01,Cash,
Tarini Edwin,+911591103560,vivaan81@example.net,"89/971, Sen, Sikar-289462",Karnataka,2025-03-09,22K,Standard,332.495,6422.38,2135409.24,4.96,105916.3,2029492.94,Cash,
Shaan Jhaveri,6117541269,prisha83@example.org,"97, Mander Path, Tinsukia-517812",Telangana,2024-08-20,22K,Pure,483.916,5838.35,2825270.98,2.78,78542.53,2746728.45,Card,
Umang Brahmbhatt,1812001432,onkarkalita@example.org,"31, Raval Path, Dehradun-825778",Karnataka,2025-02-01,18K,Premium,655.191,5649.24,3701331.2,4.15,153605.24,3547725.96,Card,
Vidur Banik,07682292126,divyanshkibe@example.com,"85, Sengupta Nagar, Raurkela Industrial Township 103870",Gujarat,2024-07-21,18K,Pure,391.099,6598.34,2580604.18,0.41,10580.48,2570023.7,Card,
Jivin Lalla,03552888038,pkade@example.com,"086, Iyengar Nagar, Sambhal 462581",Telangana,2025-03-26,18K,Standard,367.982,6678.29,2457490.51,4.05,99528.37,2357962.14,UPI,
Badal Cherian,3687225658,uwali@example.net,"28/044, Bala Circle, Hospet 219843",West Bengal,2024-08-27,24K,Premium,342.884,5422.09,1859147.91,1.04,19335.14,1839812.77,Card,
Reyansh Khare,0178772375,sanghvinirvaan@example.org,"32/96, Aurora Circle, Bihar Sharif-260763",Gujarat,2024-03-24,22K,Pure,193.748,6592.82,1277345.69,3.05,38959.04,1238386.65,Cash,Enim sapiente corrupti odio.
Umang Sandhu,+911813843658,suhanasani@example.net,"16/014, Wali Zila, Karnal-795638",Telangana,2023-08-30,24K,Premium,480.476,6742.81,3239758.38,3.44,111447.69,3128310.69,Card,
Neysa Goyal,02599733342,thakursamiha@example.com,"H.No. 03, Sethi Ganj, Maheshtala 225546",Delhi,2025-04-23,24K,Standard,336.161,6938.98,2332614.46,0.63,14695.47,2317918.99,UPI,
Kartik Singh,+910401363555,bhallamiraan@example.org,"29/763, Grover Street, Arrah-596307",West Bengal,2023-11-16,18K,Pure,973.065,6713.51,6532681.61,1.07,69899.69,6462781.92,Cash,
Seher Dara,09810769296,yashvi17@example.net,"70/44, Magar Path, Kanpur-305191",Andhra Pradesh,2024-06-15,18K,Standard,631.761,5540.17,3500063.34,2.43,85051.54,3415011.8,Card,
Navya Kapur,+913069968723,kuruvillaoorja@example.org,"610, Barman Nagar, Khora  394193",Tamil Nadu,2024-09-21,18K,Premium,298.76,6273.88,1874384.39,2.73,51170.69,1823213.7,Card,Iste maiores aperiam consequatur.
Armaan Wali,04420035448,diya52@example.org,"62, Sem Nagar, Hazaribagh-732871",Tamil Nadu,2024-11-02,18K,Premium,515.019,6966.41,3587833.51,3.8,136337.67,3451495.84,UPI,
Hansh Luthra,2459298800,fateh91@example.com,"H.No. 52, Lall Path, Medininagar 611762",West Bengal,2024-03-10,24K,Premium,314.29,6697.18,2104856.7,2.83,59567.44,2045289.26,UPI,Sequi nobis perspiciatis.
Devansh Hans,+912869089148,kabirgala@example.org,"982, Walla Nagar, Kalyan-Dombivli 218648",Maharashtra,2024-03-03,18K,Standard,939.142,5682.31,5336495.98,2.81,149955.54,5186540.44,Cash,Eveniet esse aliquam occaecati corporis.
Anya Sangha,4998393128,khushi11@example.org,"H.No. 947, Gole Ganj, Vijayanagaram 958249",Karnataka,2023-12-07,24K,Premium,99.473,5627.95,559829.07,0.76,4254.7,555574.37,UPI,Commodi culpa ab suscipit deleniti corporis.
Akarsh Bains,04109881544,shlokranganathan@example.org,"59, Sami Chowk, Rewa-172947",Kerala,2024-07-19,24K,Pure,685.863,6677.93,4580145.1,4.45,203816.46,4376328.64,Cash,
Vardaniya Dass,+911078894078,himmatkrishnamurthy@example.net,"H.No. 29, Krishnamurthy Nagar, Jamshedpur-842931",Rajasthan,2024-08-22,22K,Premium,189.636,6335.25,1201391.47,1.33,15978.51,1185412.96,Cash,
Hazel Sama,02197719718,kalefateh@example.com,"H.No. 798, Yogi Zila, Delhi 601221",Maharashtra,2023-09-06,22K,Pure,249.181,6123.25,1525797.56,0.41,6255.77,1519541.79,Card,
Shalv Soni,4105567838,uanand@example.org,"06/965, Konda Zila, Ranchi 196521",Tamil Nadu,2024-06-03,18K,Standard,421.143,6122.57,2578477.5,4.23,109069.6,2469407.9,Card,Ex architecto culpa voluptas at accusamus.
Indranil Chowdhury,08447726284,vsunder@example.com,"H.No. 806, Bhalla Zila, Tirunelveli-828914",Tamil Nadu,2024-10-08,22K,Pure,803.346,5330.98,4282621.46,1.12,47965.36,4234656.1,Bank Transfer,
Manikya Tata,08334958540,vanyarout@example.com,"H.No. 548, Kurian Ganj, Guntur-439901",Kerala,2024-07-14,24K,Standard,429.964,5033.06,2164034.61,0.23,4977.28,2159057.33,Bank Transfer,Magnam dolorum eveniet deserunt omnis sed.
Riaan Sandal,3543426604,ssodhi@example.org,"22, Datta Nagar, Muzaffarpur-331277",Tamil Nadu,2025-01-23,24K,Standard,162.489,6629.91,1077287.45,2.44,26285.81,1051001.64,Cash,
Uthkarsh Dada,6016884834,kimayabawa@example.org,"83/19, Dhar Ganj, Aizawl-066762",Tamil Nadu,2024-04-29,22K,Standard,672.482,5965.09,4011415.65,1.45,58165.53,3953250.12,UPI,Eaque quam iure ratione nihil.
Hansh Acharya,00223925143,sankardhanush@example.com,"353, Gokhale Chowk, Rajahmundry 300376",Telangana,2024-03-27,24K,Pure,169.009,5908.21,998540.66,1.41,14079.42,984461.24,Bank Transfer,
Jayan Yogi,+913564890596,valajayan@example.net,"256, Bahri Street, Patiala-600382",Karnataka,2024-02-27,18K,Premium,649.915,6957.98,4522095.57,2.82,127523.1,4394572.47,Cash,Consequuntur fuga odit vel id eum magni.
Shlok Malhotra,+910863413108,kaira73@example.com,"H.No. 01, Dhar Marg, Ambala-556289",Tamil Nadu,2024-12-06,18K,Pure,811.066,5944.83,4821649.49,1.04,50145.15,4771504.34,Bank Transfer,
Lakshit Mander,+916249430902,agatesaanvi@example.org,"287, Kar Ganj, Kakinada-010028",Tamil Nadu,2024-07-31,18K,Pure,823.195,6813.38,5608740.35,3.5,196305.91,5412434.44,UPI,
