last_name,first_name,middle_name,phone_number,email,address,remark
Badal,Riya,,00877102457,nityagala@example.net,"53/940, Kapur, Hindupur 845030",
Varma,Hazel,,04529409427,ogulati@example.net,"658
Mangal Zila, Bhimavaram 737452",
Chana,Arhaan,,03534800460,sridharfarhan@example.net,"H.No. 857, Deshpande Road, Danapur-180126",
Choudhury,Rati,,02868992301,sethitrisha@example.net,"41/97
Bains Street, Chennai 764637",
Dube,Abram,,4053405139,shanshaan@example.net,"H.No. 010, Hari Street, Vasai-Virar 258595",VIP
Kari,Romil,,6888356198,cbhargava@example.com,"H.No. 218
Sastry Nagar
Purnia 521510",
Saha,Nitya,,0086068758,chhabramadhup@example.org,"H.No. 26, Vohra Road
Rajkot 755660",Preferred
Krishna,Tejas,,+915661606827,bumbchirag@example.net,"64/441
Divan Circle, Aurangabad-091369",
Kaur,Jhanvi,,06970087087,aaina96@example.org,"57/671
Deo Path
Bhusawal 974886",
Kari,Mamooty,,00661754059,gokulkunda@example.net,"432, Swaminathan Path, Warangal 129085",
Chawla,Shalv,,5382256478,dharmajan85@example.net,"12/43, Sane, Raebareli-494878",
Sankaran,Veer,,9740481021,vaibhavsabharwal@example.com,"80
Sunder Circle
Hapur 305400",
Guha,Lakshay,,1595951656,raghav02@example.org,"45/51, Yohannan Street
Farrukhabad 094916",New
Bose,Samiha,,08091700668,renee69@example.org,"76/798, Suresh Nagar, Amaravati 275529",
Sarma,Samiha,,+911097533876,advika93@example.net,"H.No. 242
Kannan Ganj
Ratlam 042363",
Swamy,Umang,,+914988169912,pagate@example.net,"66/10, Sibal Street, Begusarai-133248",
Buch,Abram,,02441352323,kararanbir@example.net,"H.No. 55
Loyal Ganj
Shivpuri 713430",VIP
Lal,Shaan,,06163698507,htailor@example.com,"27, Jhaveri Ganj, North Dumdum-218237",
Basu,Kimaya,,01934785075,yadavtrisha@example.net,"11/86, Bhatt Ganj
Pimpri-Chinchwad 526528",
Sur,Ivana,,+913971187261,emirchauhan@example.net,"H.No. 267
Vala Marg, Sultan Pur Majra-257801",
Hegde,Advika,,+910183396418,tushar71@example.net,"H.No. 75, Amble Circle, Gwalior-839880",
Krish,Vedika,,+913487518616,dkala@example.com,"H.No. 675, Savant Nagar, Kolkata-367096",
Devi,Kabir,,1913945905,ksolanki@example.com,"H.No. 363, Tailor Nagar
Tirunelveli 791015",
Kapur,Tanya,,+914482791330,kalitaeva@example.net,"37/81
Subramanian Road, Guwahati 332759",Regular
Kunda,Anvi,,6339408305,maniishita@example.net,"99/573, Mand Circle
Ghaziabad 583334",
